city,grid_x,grid_y,building_density,avg_building_height,terrain_complexity,no_fly_zone,min_lon,max_lon,min_lat,max_lat
Xi_an,0,0,0.4585,9.19,10.0,0,108.9,108.901,34.3,34.301
Xi_an,0,1,0.2088,7.67,2.73,0,108.9,108.901,34.301,34.302
Xi_an,0,2,0.3996,12.69,4.31,0,108.9,108.901,34.302,34.303
Xi_an,0,3,0.0,1.85,2.36,0,108.9,108.901,34.303,34.304
Xi_an,0,4,0.2587,14.07,1.95,0,108.9,108.901,34.304,34.305
Xi_an,0,5,0.4288,16.27,1.44,0,108.9,108.901,34.305,34.306
Xi_an,0,6,0.0921,0.0,2.69,0,108.9,108.901,34.306,34.307
Xi_an,0,7,0.0939,0.52,5.4,0,108.9,108.901,34.307,34.308
Xi_an,0,8,0.232,10.8,8.96,0,108.9,108.901,34.308,34.309
Xi_an,0,9,0.0118,0.0,5.24,0,108.9,108.901,34.309,34.31
Xi_an,0,10,0.0955,2.54,4.28,0,108.9,108.901,34.31,34.311
Xi_an,0,11,0.0,0.0,2.93,0,108.9,108.901,34.311,34.312
Xi_an,0,12,0.3304,10.13,4.52,1,108.9,108.901,34.312,34.313
Xi_an,0,13,0.0689,3.91,3.5,0,108.9,108.901,34.313,34.314
Xi_an,0,14,0.2062,6.13,2.31,0,108.9,108.901,34.314,34.315
Xi_an,0,15,0.658,17.99,3.08,0,108.9,108.901,34.315,34.316
Xi_an,0,16,0.0,0.0,1.3,0,108.9,108.901,34.316,34.317
Xi_an,0,17,0.7031,21.09,7.74,0,108.9,108.901,34.317,34.318
Xi_an,0,18,0.1896,4.88,0.0,0,108.9,108.901,34.318,34.319
Xi_an,0,19,0.0,0.0,1.72,0,108.9,108.901,34.319,34.32
Xi_an,0,20,0.0,13.61,7.97,0,108.9,108.901,34.32,34.321
Xi_an,0,21,0.0598,7.01,4.31,0,108.9,108.901,34.321,34.322
Xi_an,0,22,0.1053,0.0,2.73,0,108.9,108.901,34.322,34.323
Xi_an,0,23,0.3042,12.04,5.47,0,108.9,108.901,34.323,34.324
Xi_an,0,24,0.278,2.17,4.5,0,108.9,108.901,34.324,34.325
Xi_an,0,25,0.0301,0.0,3.25,0,108.9,108.901,34.325,34.326
Xi_an,0,26,0.012,6.4,4.1,0,108.9,108.901,34.326,34.327
Xi_an,0,27,0.0,0.37,0.0,0,108.9,108.901,34.327,34.328
Xi_an,0,28,0.0,0.02,4.67,0,108.9,108.901,34.328,34.329
Xi_an,0,29,0.0,1.44,0.0,0,108.9,108.901,34.329,34.33
Xi_an,0,30,0.0,2.4,0.0,0,108.9,108.901,34.33,34.331
Xi_an,0,31,0.0,3.84,3.15,0,108.9,108.901,34.331,34.332
Xi_an,0,32,0.5833,22.23,10.0,0,108.9,108.901,34.332,34.333
Xi_an,0,33,0.622,23.9,6.09,0,108.9,108.901,34.333,34.334
Xi_an,0,34,0.1558,4.51,1.6,0,108.9,108.901,34.334,34.335
Xi_an,0,35,0.0,10.04,1.38,0,108.9,108.901,34.335,34.336
Xi_an,0,36,0.5839,18.68,1.33,0,108.9,108.901,34.336,34.337
Xi_an,0,37,0.4126,18.44,0.0,0,108.9,108.901,34.337,34.338
Xi_an,0,38,0.6309,26.6,1.08,0,108.9,108.901,34.338,34.339
Xi_an,0,39,0.0,0.0,1.4,0,108.9,108.901,34.339,34.34
Xi_an,0,40,0.5135,17.36,6.51,0,108.9,108.901,34.34,34.341
Xi_an,0,41,0.4373,13.77,5.71,0,108.9,108.901,34.341,34.342
Xi_an,0,42,0.2798,6.69,4.52,0,108.9,108.901,34.342,34.343
Xi_an,0,43,0.0,0.0,5.89,0,108.9,108.901,34.343,34.344
Xi_an,0,44,0.4852,19.22,7.16,0,108.9,108.901,34.344,34.345
Xi_an,0,45,0.4176,5.72,2.16,0,108.9,108.901,34.345,34.346
Xi_an,0,46,0.0,1.47,4.02,0,108.9,108.901,34.346,34.347
Xi_an,0,47,0.6915,23.23,7.18,0,108.9,108.901,34.347,34.348
Xi_an,0,48,0.408,10.88,1.94,0,108.9,108.901,34.348,34.349
Xi_an,0,49,0.4791,17.9,5.56,0,108.9,108.901,34.349,34.35
Xi_an,1,0,0.1502,0.0,1.76,0,108.901,108.902,34.3,34.301
Xi_an,1,1,0.1203,2.54,4.9,0,108.901,108.902,34.301,34.302
Xi_an,1,2,0.1785,0.0,3.92,0,108.901,108.902,34.302,34.303
Xi_an,1,3,0.2295,5.4,4.32,0,108.901,108.902,34.303,34.304
Xi_an,1,4,0.0,0.0,0.0,0,108.901,108.902,34.304,34.305
Xi_an,1,5,0.0693,0.0,0.0,0,108.901,108.902,34.305,34.306
Xi_an,1,6,0.2426,0.71,2.07,0,108.901,108.902,34.306,34.307
Xi_an,1,7,0.0,0.0,3.46,0,108.901,108.902,34.307,34.308
Xi_an,1,8,0.2309,2.16,0.0,0,108.901,108.902,34.308,34.309
Xi_an,1,9,0.0,0.0,1.69,0,108.901,108.902,34.309,34.31
Xi_an,1,10,0.0,0.0,6.97,0,108.901,108.902,34.31,34.311
Xi_an,1,11,0.4094,6.96,2.08,0,108.901,108.902,34.311,34.312
Xi_an,1,12,0.3806,13.92,4.36,0,108.901,108.902,34.312,34.313
Xi_an,1,13,0.4252,14.94,2.67,0,108.901,108.902,34.313,34.314
Xi_an,1,14,0.0,0.0,1.04,0,108.901,108.902,34.314,34.315
Xi_an,1,15,0.5224,32.29,0.92,0,108.901,108.902,34.315,34.316
Xi_an,1,16,0.0,0.0,1.0,0,108.901,108.902,34.316,34.317
Xi_an,1,17,0.015,3.63,2.43,0,108.901,108.902,34.317,34.318
Xi_an,1,18,0.4722,17.33,2.43,0,108.901,108.902,34.318,34.319
Xi_an,1,19,0.2462,8.9,4.78,0,108.901,108.902,34.319,34.32
Xi_an,1,20,0.7103,21.54,0.0,0,108.901,108.902,34.32,34.321
Xi_an,1,21,0.0,0.0,5.96,0,108.901,108.902,34.321,34.322
Xi_an,1,22,0.0,0.0,1.44,0,108.901,108.902,34.322,34.323
Xi_an,1,23,0.5894,20.5,6.75,0,108.901,108.902,34.323,34.324
Xi_an,1,24,0.0937,4.84,2.32,0,108.901,108.902,34.324,34.325
Xi_an,1,25,0.8292,19.5,5.34,0,108.901,108.902,34.325,34.326
Xi_an,1,26,0.0633,0.0,3.29,0,108.901,108.902,34.326,34.327
Xi_an,1,27,0.2202,16.33,2.0,0,108.901,108.902,34.327,34.328
Xi_an,1,28,0.5701,13.81,0.0,0,108.901,108.902,34.328,34.329
Xi_an,1,29,0.1438,14.65,1.41,0,108.901,108.902,34.329,34.33
Xi_an,1,30,0.1261,5.21,2.05,0,108.901,108.902,34.33,34.331
Xi_an,1,31,0.0331,0.08,0.0,0,108.901,108.902,34.331,34.332
Xi_an,1,32,0.0657,0.0,4.33,0,108.901,108.902,34.332,34.333
Xi_an,1,33,0.569,20.44,3.63,0,108.901,108.902,34.333,34.334
Xi_an,1,34,0.5373,16.76,2.47,0,108.901,108.902,34.334,34.335
Xi_an,1,35,0.0,0.0,3.34,0,108.901,108.902,34.335,34.336
Xi_an,1,36,0.0,0.0,0.73,1,108.901,108.902,34.336,34.337
Xi_an,1,37,0.1441,3.48,4.06,0,108.901,108.902,34.337,34.338
Xi_an,1,38,0.5016,14.54,0.0,0,108.901,108.902,34.338,34.339
Xi_an,1,39,0.0,0.0,6.81,0,108.901,108.902,34.339,34.34
Xi_an,1,40,0.1816,9.74,6.45,0,108.901,108.902,34.34,34.341
Xi_an,1,41,0.0,0.79,7.0,0,108.901,108.902,34.341,34.342
Xi_an,1,42,0.0,1.02,2.91,0,108.901,108.902,34.342,34.343
Xi_an,1,43,0.0,4.27,1.0,0,108.901,108.902,34.343,34.344
Xi_an,1,44,0.3512,3.6,3.01,0,108.901,108.902,34.344,34.345
Xi_an,1,45,0.3092,3.42,3.55,1,108.901,108.902,34.345,34.346
Xi_an,1,46,0.2069,11.9,1.75,0,108.901,108.902,34.346,34.347
Xi_an,1,47,0.0,9.33,7.42,0,108.901,108.902,34.347,34.348
Xi_an,1,48,0.492,13.44,1.31,0,108.901,108.902,34.348,34.349
Xi_an,1,49,0.0,0.0,0.0,0,108.901,108.902,34.349,34.35
Xi_an,2,0,0.0,0.0,4.0,0,108.902,108.903,34.3,34.301
Xi_an,2,1,0.0,0.0,3.25,0,108.902,108.903,34.301,34.302
Xi_an,2,2,0.1414,3.46,0.85,1,108.902,108.903,34.302,34.303
Xi_an,2,3,0.0066,0.0,3.3,0,108.902,108.903,34.303,34.304
Xi_an,2,4,0.4443,12.15,1.41,0,108.902,108.903,34.304,34.305
Xi_an,2,5,0.1618,11.11,0.0,1,108.902,108.903,34.305,34.306
Xi_an,2,6,0.0,2.83,0.0,0,108.902,108.903,34.306,34.307
Xi_an,2,7,0.7554,24.56,10.0,0,108.902,108.903,34.307,34.308
Xi_an,2,8,0.4186,12.87,3.42,0,108.902,108.903,34.308,34.309
Xi_an,2,9,0.2146,0.76,8.59,0,108.902,108.903,34.309,34.31
Xi_an,2,10,0.3581,9.74,2.44,0,108.902,108.903,34.31,34.311
Xi_an,2,11,0.0,4.32,0.0,0,108.902,108.903,34.311,34.312
Xi_an,2,12,0.308,18.35,8.22,0,108.902,108.903,34.312,34.313
Xi_an,2,13,0.0,0.0,0.0,0,108.902,108.903,34.313,34.314
Xi_an,2,14,0.2886,0.59,1.49,0,108.902,108.903,34.314,34.315
Xi_an,2,15,0.0877,3.75,5.23,0,108.902,108.903,34.315,34.316
Xi_an,2,16,0.1337,6.06,2.8,0,108.902,108.903,34.316,34.317
Xi_an,2,17,0.1751,0.79,1.11,0,108.902,108.903,34.317,34.318
Xi_an,2,18,0.0387,0.0,5.82,0,108.902,108.903,34.318,34.319
Xi_an,2,19,0.0,0.0,0.0,0,108.902,108.903,34.319,34.32
Xi_an,2,20,0.461,9.72,1.8,0,108.902,108.903,34.32,34.321
Xi_an,2,21,0.0,0.0,1.2,0,108.902,108.903,34.321,34.322
Xi_an,2,22,0.223,3.61,3.18,0,108.902,108.903,34.322,34.323
Xi_an,2,23,0.4622,6.47,3.27,0,108.902,108.903,34.323,34.324
Xi_an,2,24,0.1321,0.0,3.48,0,108.902,108.903,34.324,34.325
Xi_an,2,25,0.3596,7.64,5.67,0,108.902,108.903,34.325,34.326
Xi_an,2,26,0.3324,1.56,3.91,0,108.902,108.903,34.326,34.327
Xi_an,2,27,0.1861,0.0,3.6,0,108.902,108.903,34.327,34.328
Xi_an,2,28,0.3014,3.31,2.84,0,108.902,108.903,34.328,34.329
Xi_an,2,29,0.0,1.82,1.76,0,108.902,108.903,34.329,34.33
Xi_an,2,30,0.0829,0.0,7.53,0,108.902,108.903,34.33,34.331
Xi_an,2,31,0.0,4.17,2.56,0,108.902,108.903,34.331,34.332
Xi_an,2,32,0.4437,6.72,0.0,0,108.902,108.903,34.332,34.333
Xi_an,2,33,0.0354,2.68,5.51,0,108.902,108.903,34.333,34.334
Xi_an,2,34,0.2426,7.93,1.75,0,108.902,108.903,34.334,34.335
Xi_an,2,35,0.1588,4.01,4.7,0,108.902,108.903,34.335,34.336
Xi_an,2,36,0.1105,0.0,0.0,0,108.902,108.903,34.336,34.337
Xi_an,2,37,0.3983,2.97,6.76,0,108.902,108.903,34.337,34.338
Xi_an,2,38,0.023,0.0,4.66,0,108.902,108.903,34.338,34.339
Xi_an,2,39,0.0139,0.0,4.08,0,108.902,108.903,34.339,34.34
Xi_an,2,40,0.6572,23.86,4.73,0,108.902,108.903,34.34,34.341
Xi_an,2,41,0.1293,5.17,5.79,0,108.902,108.903,34.341,34.342
Xi_an,2,42,0.0,3.56,3.24,0,108.902,108.903,34.342,34.343
Xi_an,2,43,0.1581,6.53,0.02,0,108.902,108.903,34.343,34.344
Xi_an,2,44,0.0,3.67,4.77,0,108.902,108.903,34.344,34.345
Xi_an,2,45,0.0,0.0,0.0,0,108.902,108.903,34.345,34.346
Xi_an,2,46,0.0,0.0,1.01,0,108.902,108.903,34.346,34.347
Xi_an,2,47,0.0,5.34,0.0,0,108.902,108.903,34.347,34.348
Xi_an,2,48,0.0306,4.8,0.0,0,108.902,108.903,34.348,34.349
Xi_an,2,49,0.0,0.0,5.41,0,108.902,108.903,34.349,34.35
Xi_an,3,0,0.3119,12.2,1.63,0,108.903,108.904,34.3,34.301
Xi_an,3,1,0.0,1.47,6.57,0,108.903,108.904,34.301,34.302
Xi_an,3,2,0.4239,14.08,0.0,0,108.903,108.904,34.302,34.303
Xi_an,3,3,0.1637,0.0,4.59,0,108.903,108.904,34.303,34.304
Xi_an,3,4,0.0481,5.81,1.56,1,108.903,108.904,34.304,34.305
Xi_an,3,5,0.3218,14.26,3.51,0,108.903,108.904,34.305,34.306
Xi_an,3,6,0.1931,17.44,3.22,0,108.903,108.904,34.306,34.307
Xi_an,3,7,0.1864,7.61,0.0,0,108.903,108.904,34.307,34.308
Xi_an,3,8,0.7108,18.58,5.13,1,108.903,108.904,34.308,34.309
Xi_an,3,9,0.0,0.0,1.96,0,108.903,108.904,34.309,34.31
Xi_an,3,10,0.4037,14.07,0.77,0,108.903,108.904,34.31,34.311
Xi_an,3,11,0.0444,7.44,0.0,0,108.903,108.904,34.311,34.312
Xi_an,3,12,0.2735,8.35,1.7,0,108.903,108.904,34.312,34.313
Xi_an,3,13,0.0,0.0,0.0,0,108.903,108.904,34.313,34.314
Xi_an,3,14,0.0114,1.2,4.31,1,108.903,108.904,34.314,34.315
Xi_an,3,15,0.0,0.0,2.12,0,108.903,108.904,34.315,34.316
Xi_an,3,16,0.4715,19.82,7.36,0,108.903,108.904,34.316,34.317
Xi_an,3,17,0.1013,2.06,3.09,0,108.903,108.904,34.317,34.318
Xi_an,3,18,0.0755,10.91,4.21,0,108.903,108.904,34.318,34.319
Xi_an,3,19,0.0017,0.8,2.58,0,108.903,108.904,34.319,34.32
Xi_an,3,20,0.0,0.0,2.12,0,108.903,108.904,34.32,34.321
Xi_an,3,21,0.1733,14.26,5.74,0,108.903,108.904,34.321,34.322
Xi_an,3,22,0.5693,14.38,6.61,0,108.903,108.904,34.322,34.323
Xi_an,3,23,0.0071,0.0,0.0,0,108.903,108.904,34.323,34.324
Xi_an,3,24,0.2735,6.21,2.75,0,108.903,108.904,34.324,34.325
Xi_an,3,25,0.3489,11.71,3.35,0,108.903,108.904,34.325,34.326
Xi_an,3,26,0.2492,5.18,0.81,0,108.903,108.904,34.326,34.327
